record_type,rank,frame,i_plus,i_minus,v_plus,v_minus,electrode,rms_kohm,relative_rms_percent,correlation,max_abs_kohm
pair,87,,E11,E12,E6,E7,,0.000042989,,,0.000079218
pair,88,,E10,E11,E7,E8,,0.000042357,,,0.000100593
pair,89,,E7,E8,E1,E2,,0.000041821,,,0.000088907
pair,90,,E8,E9,E2,E3,,0.000041485,,,0.000116626
pair,91,,E7,E8,E2,E3,,0.000041376,,,0.000083641
pair,92,,E6,E7,E1,E2,,0.000040376,,,0.000099434
pair,93,,E3,E4,E8,E9,,0.000040078,,,0.000086348
pair,94,,E3,E4,E10,E11,,0.000039993,,,0.000087985
pair,95,,E2,E3,E7,E8,,0.000039329,,,0.000084403
pair,96,,E10,E11,E6,E7,,0.000038107,,,0.000063885
pair,97,,E10,E11,E3,E4,,0.000036720,,,0.000074603
pair,98,,E12,E1,E6,E7,,0.000034408,,,0.000068576
pair,99,,E1,E2,E8,E9,,0.000033751,,,0.000083609
pair,100,,E7,E8,E3,E4,,0.000032291,,,0.000087665
pair,101,,E2,E3,E8,E9,,0.000031977,,,0.000051814
pair,102,,E6,E7,E11,E12,,0.000031340,,,0.000060339
pair,103,,E3,E4,E7,E8,,0.000031302,,,0.000062696
pair,104,,E11,E12,E7,E8,,0.000030999,,,0.000059002
pair,105,,E6,E7,E2,E3,,0.000030136,,,0.000053456
pair,106,,E1,E2,E6,E7,,0.000029771,,,0.000059748
pair,107,,E1,E2,E7,E8,,0.000028832,,,0.000088325
pair,108,,E12,E1,E7,E8,,0.000025887,,,0.000064284
electrode,1,,,,,,E5,0.001203422,,,
electrode,2,,,,,,E6,0.000818986,,,
electrode,3,,,,,,E4,0.000555405,,,
electrode,4,,,,,,E1,0.000527399,,,
electrode,5,,,,,,E10,0.000452534,,,
electrode,6,,,,,,E12,0.000413622,,,
electrode,7,,,,,,E11,0.000389169,,,
electrode,8,,,,,,E2,0.000375177,,,
electrode,9,,,,,,E9,0.000317041,,,
electrode,10,,,,,,E3,0.000244233,,,
electrode,11,,,,,,E8,0.000223692,,,
electrode,12,,,,,,E7,0.000158150,,,
