run_id,frame_index,i_plus,i_minus,v_plus,v_minus,voltage_mv
20260613-000525,1,E11,E5,E1,E2,20.000000
20260613-000525,1,E11,E5,E2,E3,16.000000
20260613-000525,1,E11,E5,E3,E4,-1.500000
20260613-000525,1,E11,E5,E6,E7,331.500000
20260613-000525,1,E11,E5,E7,E8,-10.000000
20260613-000525,1,E11,E5,E8,E9,-267.500000
20260613-000525,1,E11,E5,E9,E10,-325.500000
20260613-000525,1,E11,E5,E12,E1,20.000000
20260613-000525,1,E12,E6,E1,E2,22.000000
20260613-000525,1,E12,E6,E2,E3,11.500000
20260613-000525,1,E12,E6,E3,E4,-0.500000
20260613-000525,1,E12,E6,E4,E5,18.000000
20260613-000525,1,E12,E6,E7,E8,-6.000000
20260613-000525,1,E12,E6,E8,E9,-233.000000
20260613-000525,1,E12,E6,E9,E10,-285.000000
20260613-000525,1,E12,E6,E10,E11,249.500000
20260613-000525,2,E1,E7,E2,E3,11.500000
20260613-000525,2,E1,E7,E3,E4,-4.000000
20260613-000525,2,E1,E7,E4,E5,6.000000
20260613-000525,2,E1,E7,E5,E6,-25.500000
20260613-000525,2,E1,E7,E8,E9,-131.000000
20260613-000525,2,E1,E7,E9,E10,-170.000000
20260613-000525,2,E1,E7,E10,E11,170.500000
20260613-000525,2,E1,E7,E11,E12,159.000000
20260613-000525,2,E2,E8,E3,E4,-2.000000
20260613-000525,2,E2,E8,E4,E5,10.000000
20260613-000525,2,E2,E8,E5,E6,-33.500000
20260613-000525,2,E2,E8,E6,E7,220.000000
20260613-000525,2,E2,E8,E9,E10,-213.000000
20260613-000525,2,E2,E8,E10,E11,206.000000
20260613-000525,2,E2,E8,E11,E12,192.500000
20260613-000525,2,E2,E8,E12,E1,12.000000
20260613-000525,2,E3,E9,E1,E2,14.000000
20260613-000525,2,E3,E9,E4,E5,12.000000
20260613-000525,2,E3,E9,E5,E6,-38.000000
20260613-000525,2,E3,E9,E6,E7,254.000000
20260613-000525,2,E3,E9,E7,E8,-14.000000
20260613-000525,2,E3,E9,E10,E11,232.500000
20260613-000525,2,E3,E9,E11,E12,217.500000
20260613-000525,2,E3,E9,E12,E1,12.000000
20260613-000525,2,E4,E10,E1,E2,16.000000
20260613-000525,2,E4,E10,E2,E3,19.000000
20260613-000525,2,E4,E10,E5,E6,-42.500000
20260613-000525,2,E4,E10,E6,E7,273.000000
20260613-000525,2,E4,E10,E7,E8,-12.000000
20260613-000525,2,E4,E10,E8,E9,-220.500000
20260613-000525,2,E4,E10,E11,E12,231.000000
20260613-000525,2,E4,E10,E12,E1,14.000000
20260613-000525,2,E5,E11,E1,E2,18.000000
20260613-000525,2,E5,E11,E2,E3,18.500000
20260613-000525,2,E5,E11,E3,E4,-2.000000
20260613-000525,2,E5,E11,E6,E7,289.000000
20260613-000525,2,E5,E11,E7,E8,-11.500000
20260613-000525,2,E5,E11,E8,E9,-234.500000
20260613-000525,2,E5,E11,E9,E10,-283.500000
20260613-000525,2,E5,E11,E12,E1,15.500000
20260613-000525,2,E6,E12,E1,E2,19.000000
20260613-000525,2,E6,E12,E2,E3,18.000000
20260613-000525,2,E6,E12,E3,E4,-2.000000
20260613-000525,2,E6,E12,E4,E5,14.000000
20260613-000525,2,E6,E12,E7,E8,-10.500000
20260613-000525,2,E6,E12,E8,E9,-242.000000
20260613-000525,2,E6,E12,E9,E10,-294.500000
20260613-000525,2,E6,E12,E10,E11,266.000000
20260613-000525,2,E7,E1,E2,E3,12.500000
20260613-000525,2,E7,E1,E3,E4,-2.000000
20260613-000525,2,E7,E1,E4,E5,14.000000
20260613-000525,2,E7,E1,E5,E6,-52.000000
20260613-000525,2,E7,E1,E8,E9,-216.000000
20260613-000525,2,E7,E1,E9,E10,-267.500000
20260613-000525,2,E7,E1,E10,E11,232.000000
20260613-000525,2,E7,E1,E11,E12,226.500000
20260613-000525,2,E8,E2,E3,E4,-2.000000
20260613-000525,2,E8,E2,E4,E5,16.000000
20260613-000525,2,E8,E2,E5,E6,-54.000000
20260613-000525,2,E8,E2,E6,E7,337.000000
20260613-000525,2,E8,E2,E9,E10,-325.500000
20260613-000525,2,E8,E2,E10,E11,300.000000
20260613-000525,2,E8,E2,E11,E12,282.000000
20260613-000525,2,E8,E2,E12,E1,16.000000
20260613-000525,2,E9,E3,E1,E2,18.000000
20260613-000525,2,E9,E3,E4,E5,16.000000
20260613-000525,2,E9,E3,E5,E6,-56.000000
20260613-000525,2,E9,E3,E6,E7,347.500000
20260613-000525,2,E9,E3,E7,E8,-14.000000
20260613-000525,2,E9,E3,E10,E11,310.000000
20260613-000525,2,E9,E3,E11,E12,290.500000
20260613-000525,2,E9,E3,E12,E1,17.500000
